"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 22 17:23:32 UTC 2025","Wed Oct 22 17:24:41 UTC 2025","68471","","Dashboard Page OrangeHRM","","Verify help icon on dashboard page","","Verify help icon on dashboard page",""
"broken","Wed Oct 22 17:24:41 UTC 2025","Wed Oct 22 17:25:13 UTC 2025","32431","","Login Page OrangeHRM","","Verify login functionality for Invalid credentials message","","Verify login functionality for Invalid credentials message",""
"broken","Wed Oct 22 17:23:33 UTC 2025","Wed Oct 22 17:24:41 UTC 2025","68395","","Dashboard Page OrangeHRM","","Verify menu available in sidepanel","","Verify menu available in sidepanel",""
"broken","Wed Oct 22 17:24:41 UTC 2025","Wed Oct 22 17:25:14 UTC 2025","32748","","Login Page OrangeHRM","","Verify login functionality for Invalid credentials","","Verify login functionality for Invalid credentials",""
"broken","Wed Oct 22 17:23:33 UTC 2025","Wed Oct 22 17:24:41 UTC 2025","68460","","Dashboard Page OrangeHRM","","Verify user dropdown menu","","Verify user dropdown menu",""
"broken","Wed Oct 22 17:24:41 UTC 2025","Wed Oct 22 17:25:14 UTC 2025","32567","","Login Page OrangeHRM","","Verify login functionality for valid credentials","","Verify login functionality for valid credentials",""
"broken","Wed Oct 22 17:23:33 UTC 2025","Wed Oct 22 17:24:41 UTC 2025","68455","","Admin Page functionality","","Verify nav bar items in Admin page","","Verify nav bar items in Admin page",""
"broken","Wed Oct 22 17:24:41 UTC 2025","Wed Oct 22 17:25:14 UTC 2025","32672","","Login Page OrangeHRM","","Verify user not navigated to dashboard page if uses Invalid credentials","","Verify user not navigated to dashboard page if uses Invalid credentials",""
