"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 22 17:34:25 UTC 2025","Wed Oct 22 17:34:28 UTC 2025","3385","","Login Page OrangeHRM","","Verify login functionality for Invalid credentials message","","Verify login functionality for Invalid credentials message",""
"passed","Wed Oct 22 17:33:49 UTC 2025","Wed Oct 22 17:34:21 UTC 2025","32193","","Admin Page functionality","","Verify nav bar items in Admin page","","Verify nav bar items in Admin page",""
"passed","Wed Oct 22 17:33:49 UTC 2025","Wed Oct 22 17:34:20 UTC 2025","31358","","Dashboard Page OrangeHRM","","Verify user dropdown menu","","Verify user dropdown menu",""
"passed","Wed Oct 22 17:34:20 UTC 2025","Wed Oct 22 17:34:27 UTC 2025","7052","","Dashboard Page OrangeHRM","","Verify help icon on dashboard page","","Verify help icon on dashboard page",""
"passed","Wed Oct 22 17:34:21 UTC 2025","Wed Oct 22 17:34:25 UTC 2025","3413","","Login Page OrangeHRM","","Verify login functionality for Invalid credentials","","Verify login functionality for Invalid credentials",""
"broken","Wed Oct 22 17:34:25 UTC 2025","Wed Oct 22 17:34:29 UTC 2025","3718","","Login Page OrangeHRM","","Verify user not navigated to dashboard page if uses Invalid credentials","","Verify user not navigated to dashboard page if uses Invalid credentials",""
"passed","Wed Oct 22 17:33:49 UTC 2025","Wed Oct 22 17:34:20 UTC 2025","31289","","Dashboard Page OrangeHRM","","Verify menu available in sidepanel","","Verify menu available in sidepanel",""
"passed","Wed Oct 22 17:34:20 UTC 2025","Wed Oct 22 17:34:25 UTC 2025","5063","","Login Page OrangeHRM","","Verify login functionality for valid credentials","","Verify login functionality for valid credentials",""
